PERMIT#,PERMIT_TYPE,APPLICATION_START_DATE,ISSUE_DATE,LATITUDE,LONGITUDE,zipcode,community_area
100851296,PERMIT - NEW CONSTRUCTION,11/30/2021,11/30/2021,41.86398489,-87.62589624,IL,
100946087,PERMIT - NEW CONSTRUCTION,11/29/2021,11/29/2021,41.92613143,-87.65955069,60614,LOGAN SQUARE
100927168,PERMIT - NEW CONSTRUCTION,11/29/2021,11/29/2021,41.8775533,-87.69540033,60644,AUSTIN
100930670,PERMIT - NEW CONSTRUCTION,11/24/2021,11/24/2021,41.92995522,-87.66725149,60614,LOGAN SQUARE
100949303,PERMIT - NEW CONSTRUCTION,11/23/2021,11/23/2021,41.97326374,-87.73917547,60630,FOREST GLEN
100948888,PERMIT - NEW CONSTRUCTION,11/23/2021,11/23/2021,41.87949547,-87.63382966,60696,
100928349,PERMIT - NEW CONSTRUCTION,11/22/2021,11/22/2021,41.9364392,-87.71423813,60618,AVONDALE
100949323,PERMIT - NEW CONSTRUCTION,11/22/2021,11/22/2021,41.85498629,-87.73476106,60623,SOUTH LAWNDALE
100946489,PERMIT - NEW CONSTRUCTION,11/22/2021,11/22/2021,41.92628665,-87.70005201,60618,AVONDALE
100945199,PERMIT - NEW CONSTRUCTION,11/18/2021,11/29/2021,41.87051997,-87.62605352,60605,NEAR SOUTH SIDE
100944606,PERMIT - NEW CONSTRUCTION,11/18/2021,11/29/2021,41.95889037,-87.78201199,60630,FOREST GLEN
100949133,PERMIT - NEW CONSTRUCTION,11/18/2021,11/18/2021,41.88426637,-87.64927147,60607,LOOP
100948765,PERMIT - NEW CONSTRUCTION,11/18/2021,11/18/2021,41.87678181,-87.62964264,60605,NEAR SOUTH SIDE
100949112,PERMIT - NEW CONSTRUCTION,11/18/2021,11/18/2021,41.8833222,-87.6297751,60602,LOOP
100948769,PERMIT - NEW CONSTRUCTION,11/18/2021,11/30/2021,41.87747384,-87.68324922,60612,NORTH LAWNDALE
100941713,PERMIT - NEW CONSTRUCTION,11/18/2021,11/18/2021,41.96229564,-87.69473025,60625,ALBANY PARK
100949324,PERMIT - NEW CONSTRUCTION,11/18/2021,11/18/2021,41.78429537,-87.59440556,60637,WOODLAWN
100875014,PERMIT - NEW CONSTRUCTION,11/17/2021,11/17/2021,41.90946343,-87.63579889,60610,WEST TOWN
100948812,PERMIT - NEW CONSTRUCTION,11/17/2021,11/17/2021,41.88996232,-87.62424354,60601,LOOP
100929569,PERMIT - NEW CONSTRUCTION,11/17/2021,11/17/2021,41.77721283,-87.59472286,60637,WOODLAWN
100934686,PERMIT - NEW CONSTRUCTION,11/16/2021,11/16/2021,41.94934924,-87.70559458,60625,ALBANY PARK
100921568,PERMIT - NEW CONSTRUCTION,11/16/2021,11/16/2021,41.78151485,-87.72161137,60629,WEST ELSDON
100933322,PERMIT - NEW CONSTRUCTION,11/16/2021,11/16/2021,41.82708467,-87.66679484,60609,BRIDGEPORT
100945232,PERMIT - NEW CONSTRUCTION,11/16/2021,11/16/2021,41.78342515,-87.63594146,60636,ENGLEWOOD
100943756,PERMIT - NEW CONSTRUCTION,11/16/2021,11/16/2021,nan,nan,,
100948585,PERMIT - NEW CONSTRUCTION,11/15/2021,11/16/2021,41.93224606,-87.67226774,60657,LAKEVIEW
100947436,PERMIT - NEW CONSTRUCTION,11/15/2021,11/15/2021,42.01555833,-87.70108147,60645,
100893705,PERMIT - NEW CONSTRUCTION,11/15/2021,11/15/2021,41.93540387,-87.65786045,60657,LAKEVIEW
100944718,PERMIT - NEW CONSTRUCTION,11/15/2021,11/15/2021,41.88651948,-87.70675981,60624,HUMBOLDT PARK
100947712,PERMIT - NEW CONSTRUCTION,11/14/2021,11/14/2021,41.83836687,-87.70744585,60623,SOUTH LAWNDALE
100948528,PERMIT - NEW CONSTRUCTION,11/14/2021,11/14/2021,41.95798236,-87.64826499,60613,
100948534,PERMIT - NEW CONSTRUCTION,11/13/2021,11/13/2021,41.83488064,-87.65061319,60609,BRIDGEPORT
100947728,PERMIT - NEW CONSTRUCTION,11/13/2021,11/13/2021,41.88458837,-87.62327256,60601,LOOP
100941858,PERMIT - NEW CONSTRUCTION,11/10/2021,11/10/2021,41.97695746,-87.68595938,60625,ALBANY PARK
100942381,PERMIT - NEW CONSTRUCTION,11/10/2021,11/10/2021,41.85853846,-87.6507569,60608,NORTH LAWNDALE
100945298,PERMIT - NEW CONSTRUCTION,11/10/2021,11/10/2021,41.92701157,-87.65778986,60614,LOGAN SQUARE
100947419,PERMIT - NEW CONSTRUCTION,11/9/2021,11/9/2021,41.8238513,-87.62428782,60653,KENWOOD
100947171,PERMIT - NEW CONSTRUCTION,11/9/2021,11/9/2021,41.80369566,-87.58661451,60615,GRAND BOULEVARD
100947593,PERMIT - NEW CONSTRUCTION,11/9/2021,11/9/2021,41.85323373,-87.64636415,60616,ARMOUR SQUARE
100916540,PERMIT - NEW CONSTRUCTION,11/9/2021,11/24/2021,41.88476169,-87.65898834,60607,LOOP
100947705,PERMIT - NEW CONSTRUCTION,11/9/2021,11/9/2021,41.90427858,-87.73633716,60651,HUMBOLDT PARK
100933832,PERMIT - NEW CONSTRUCTION,11/8/2021,11/8/2021,41.9488157,-87.67720699,60618,AVONDALE
100940427,PERMIT - NEW CONSTRUCTION,11/8/2021,11/8/2021,41.91928812,-87.80229043,60707,MONTCLARE
100936810,PERMIT - NEW CONSTRUCTION,11/8/2021,11/8/2021,41.95008771,-87.67849522,60613,
100940240,PERMIT - NEW CONSTRUCTION,11/8/2021,11/17/2021,41.95408643,-87.67570746,60613,
100947583,PERMIT - NEW CONSTRUCTION,11/8/2021,11/21/2021,41.92362832,-87.64156746,60614,LOGAN SQUARE
100944603,PERMIT - NEW CONSTRUCTION,11/4/2021,11/4/2021,41.88913511,-87.64905166,60661,WEST TOWN
100943569,PERMIT - NEW CONSTRUCTION,11/4/2021,11/4/2021,41.72816858,-87.54837072,60617,EAST SIDE
100946255,PERMIT - NEW CONSTRUCTION,11/4/2021,11/4/2021,41.88422161,-87.61933906,60601,LOOP
100944349,PERMIT - NEW CONSTRUCTION,11/4/2021,11/4/2021,41.93665835,-87.63700903,60657,LAKEVIEW
100938705,PERMIT - NEW CONSTRUCTION,11/4/2021,11/4/2021,41.94736157,-87.68206351,60618,AVONDALE
100943374,PERMIT - NEW CONSTRUCTION,11/4/2021,11/4/2021,41.88124146,-87.67428253,60612,NORTH LAWNDALE
100941210,PERMIT - NEW CONSTRUCTION,11/4/2021,11/4/2021,41.83078366,-87.63529578,60632,ARCHER HEIGHTS
100943750,PERMIT - NEW CONSTRUCTION,11/4/2021,11/4/2021,41.78792148,-87.59580626,60637,WOODLAWN
100945882,PERMIT - NEW CONSTRUCTION,11/4/2021,11/4/2021,41.78811943,-87.59652778,60637,WOODLAWN
100943882,PERMIT - NEW CONSTRUCTION,11/4/2021,11/4/2021,41.79042796,-87.78037224,60638,MIDWAY
100946252,PERMIT - NEW CONSTRUCTION,11/4/2021,11/4/2021,41.88422161,-87.61933906,60601,LOOP
100946624,PERMIT - NEW CONSTRUCTION,11/4/2021,11/4/2021,41.78962413,-87.59302611,60637,WOODLAWN
100934617,PERMIT - NEW CONSTRUCTION,11/4/2021,11/4/2021,41.89920147,-87.69389464,60651,HUMBOLDT PARK
100945885,PERMIT - NEW CONSTRUCTION,11/4/2021,11/4/2021,41.90919206,-87.67728291,60622,WEST TOWN
100943358,PERMIT - NEW CONSTRUCTION,11/4/2021,11/4/2021,41.70709514,-87.68919165,60655,BEVERLY
100944496,PERMIT - NEW CONSTRUCTION,11/4/2021,11/4/2021,41.78591394,-87.59622981,60637,WOODLAWN
100931400,PERMIT - NEW CONSTRUCTION,11/4/2021,11/4/2021,41.91125713,-87.67000561,60622,WEST TOWN
100946607,PERMIT - NEW CONSTRUCTION,11/4/2021,11/4/2021,41.89756507,-87.63705957,60610,WEST TOWN
100915803,PERMIT - NEW CONSTRUCTION,11/3/2021,11/3/2021,41.90200635,-87.67614959,60622,WEST TOWN
100938238,PERMIT - NEW CONSTRUCTION,11/3/2021,11/26/2021,41.93694475,-87.66222135,60657,LAKEVIEW
100938365,PERMIT - NEW CONSTRUCTION,11/3/2021,11/3/2021,41.95135903,-87.67528299,60613,
100944390,PERMIT - NEW CONSTRUCTION,11/2/2021,11/2/2021,41.86262829,-87.61503109,IL,
100943924,PERMIT - NEW CONSTRUCTION,11/2/2021,11/2/2021,41.86262829,-87.61503109,IL,
100943298,PERMIT - NEW CONSTRUCTION,11/2/2021,11/2/2021,41.94142629,-87.6907993,60618,AVONDALE
100946903,PERMIT - NEW CONSTRUCTION,11/2/2021,11/2/2021,41.95995019,-87.79409123,60634,BELMONT CRAGIN
100944402,PERMIT - NEW CONSTRUCTION,11/2/2021,11/2/2021,41.86262829,-87.61503109,IL,
100940647,PERMIT - NEW CONSTRUCTION,11/2/2021,11/2/2021,41.87935192,-87.69743253,60612,NORTH LAWNDALE
100917470,PERMIT - NEW CONSTRUCTION,11/2/2021,11/24/2021,41.88476169,-87.65898834,60607,LOOP
100946862,PERMIT - NEW CONSTRUCTION,11/2/2021,11/2/2021,41.88994129,-87.62887636,60654,LOOP
