,Community Area Number,COMMUNITY AREA NAME,PERCENT OF HOUSING CROWDED,PERCENT HOUSEHOLDS BELOW POVERTY,PERCENT AGED 16+ UNEMPLOYED,PERCENT AGED 25+ WITHOUT HIGH SCHOOL DIPLOMA,PERCENT AGED UNDER 18 OR OVER 64,PER CAPITA INCOME ,HARDSHIP INDEX,zipcode
0,1,Rogers Park,7.7,23.6,8.7,18.2,27.5,23939,39,60660
1,2,West Ridge,7.8,17.2,8.8,20.8,38.5,23040,46,60660
2,3,Uptown,3.8,24.0,8.9,11.8,22.2,35787,20,60640
3,4,Lincoln Square,3.4,10.9,8.2,13.4,25.5,37524,17,60660
4,5,North Center,0.3,7.5,5.2,4.5,26.2,57123,6,60657
5,6,Lake View,1.1,11.4,4.7,2.6,17.0,60058,5,60657
6,7,Lincoln Park,0.8,12.3,5.1,3.6,21.5,71551,2,60657
7,8,Near North Side,1.9,12.9,7.0,2.5,22.6,88669,1,60654
8,9,Edison Park,1.1,3.3,6.5,7.4,35.3,40959,8,60631
9,10,Norwood Park,2.0,5.4,9.0,11.5,39.5,32875,21,60656
10,11,Jefferson Park,2.7,8.6,12.4,13.4,35.5,27751,25,60646
11,12,Forest Glen,1.1,7.5,6.8,4.9,40.5,44164,11,60714
12,13,North Park,3.9,13.2,9.9,14.4,39.0,26576,33,60659
13,14,Albany Park,11.3,19.2,10.0,32.9,32.0,21323,53,60641
14,15,Portage Park,4.1,11.6,12.6,19.3,34.0,24336,35,60706
15,16,Irving Park,6.3,13.1,10.0,22.4,31.6,27249,34,60641
16,17,Dunning,5.2,10.6,10.0,16.2,33.6,26282,28,60707
17,18,Montclaire,8.1,15.3,13.8,23.5,38.6,22014,50,60707
18,19,Belmont Cragin,10.8,18.7,14.6,37.3,37.3,15461,70,60707
19,20,Hermosa,6.9,20.5,13.1,41.6,36.4,15089,71,60647
20,21,Avondale,6.0,15.3,9.2,24.7,31.0,20039,42,60647
21,22,Logan Square,3.2,16.8,8.2,14.8,26.2,31908,23,60647
22,23,Humboldt park,14.8,33.9,17.3,35.4,38.0,13781,85,60651
23,24,West Town,2.3,14.7,6.6,12.9,21.7,43198,10,60661
24,25,Austin,6.3,28.6,22.6,24.4,37.9,15957,73,60804
25,26,West Garfield Park,9.4,41.7,25.8,24.5,43.6,10934,92,60624
26,27,East Garfield Park,8.2,42.4,19.6,21.3,43.2,12961,83,60624
27,28,Near West Side,3.8,20.6,10.7,9.6,22.2,44689,15,60661
28,29,North Lawndale,7.4,43.1,21.2,27.6,42.7,12034,87,60624
29,30,South Lawndale,15.2,30.7,15.8,54.8,33.8,10402,96,60632
30,31,Lower West Side,9.6,25.8,15.8,40.7,32.6,16444,76,60616
31,32,Loop,1.5,14.7,5.7,3.1,13.5,65526,3,60654
32,33,Near South Side,1.3,13.8,4.9,7.4,21.8,59077,7,60616
